sac-eng-ops-esx-13 (ARCH01),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-arch-abtest-web-01,10.68.33.22,5,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-apiserver-web-01,10.68.33.32,5,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-babar-web-01,10.68.33.42,6,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-catalog-web-01,10.68.33.52,6,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-catfin-web-01,10.68.33.62,6,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-color-web-01,10.68.33.82,6,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-elysium-web-01,10.68.33.92,6,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-inventory-web-01,10.68.33.102,6,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-mktapp-web-01,10.68.33.112,5,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-mobile-web-01,10.68.33.122,5,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-nexus-web-01,10.68.33.132,5,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-nexus-rsq-01,10.68.33.142,5,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-avail-web-01,10.68.33.152,5,4,4,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-searchpro-web-01,10.68.33.162,5,8,12,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-searchpro-data-01,10.68.64.32,5,8,12,150,sac-eng-ops-esx-14,dev:sysadmin,dev-root,db
sac-arch-imp-web-01,10.68.33.172,6,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-stor-web-01,10.68.33.182,5,8,12,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-stor-mq-01,10.68.33.192,5,8,12,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-stor-db-01,10.68.64.52,6,8,16,250,sac-eng-ops-esx-14,dev:sysadmin,dev-root,db
sac-arch-vp-web-01,10.68.33.202,5,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-vp-rsq-01,10.68.33.212,5,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app
sac-arch-soa-web-01,10.68.33.222,6,8,8,100,sac-eng-ops-esx-14,dev:sysadmin,dev-root,app