PERS,,,,,,,,,
sac-mobl-soa-web-01,10.68.32.224,6,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sac-eng-ops-esx-06 (MOBL02),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-mobl-abtest-web-02,10.68.32.25,5,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-apiserver-web-02,10.68.32.35,5,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-babar-web-02,10.68.32.45,6,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-catalog-web-02,10.68.32.55,6,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-catfin-web-02,10.68.32.65,6,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-color-web-02,10.68.32.85,6,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-elysium-web-02,10.68.32.95,6,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-inventory-web-02,10.68.32.105,6,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-mktapp-web-02,10.68.32.115,5,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-mobile-web-02,10.68.32.125,5,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-nexus-web-02,10.68.32.135,5,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-nexus-rsq-02,10.68.32.145,5,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-avail-web-02,10.68.32.155,5,4,4,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-searchpro-web-02,10.68.32.165,5,8,12,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-searchpro-data-02,10.68.64.25,5,8,12,150,sac-eng-ops-esx-07,dev:sysadmin,dev-root,db
sac-mobl-imp-web-02,10.68.32.175,6,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-stor-web-02,10.68.32.185,5,8,12,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-stor-mq-02,10.68.32.195,5,8,12,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-stor-db-02,10.68.64.45,6,8,16,250,sac-eng-ops-esx-07,dev:sysadmin,dev-root,db
sac-mobl-vp-web-02,10.68.32.205,5,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-vp-rsq-02,10.68.32.215,5,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
sac-mobl-soa-web-02,10.68.32.225,6,8,8,100,sac-eng-ops-esx-07,dev:sysadmin,dev-root,app
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sac-eng-ops-esx-07 (CONS01),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-cons-abtest-web-01,10.68.32.26,5,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-apiserver-web-01,10.68.32.36,5,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-babar-web-01,10.68.32.46,6,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-catalog-web-01,10.68.32.56,6,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-catfin-web-01,10.68.32.66,6,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-color-web-01,10.68.32.86,6,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-elysium-web-01,10.68.32.96,6,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-inventory-web-01,10.68.32.106,6,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-mktapp-web-01,10.68.32.116,5,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-mobile-web-01,10.68.32.126,5,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-nexus-web-01,10.68.32.136,5,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-nexus-rsq-01,10.68.32.146,5,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-avail-web-01,10.68.32.156,5,4,4,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-searchpro-web-01,10.68.32.166,5,8,12,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-searchpro-data-01,10.68.64.26,5,8,12,150,sac-eng-ops-esx-08,dev:sysadmin,dev-root,db
sac-cons-imp-web-01,10.68.32.176,6,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-stor-web-01,10.68.32.186,5,8,12,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-stor-mq-01,10.68.32.196,5,8,12,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-stor-db-01,10.68.64.46,6,8,16,350,sac-eng-ops-esx-08,dev:sysadmin,dev-root,db
sac-cons-vp-web-01,10.68.32.206,5,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-vp-rsq-01,10.68.32.216,5,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
sac-cons-soa-web-01,10.68.32.226,6,8,8,100,sac-eng-ops-esx-08,dev:sysadmin,dev-root,app
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sac-eng-ops-esx-08 (CONS02),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-cons-abtest-web-02,10.68.32.27,5,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-apiserver-web-02,10.68.32.37,5,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-babar-web-02,10.68.32.47,6,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-catalog-web-02,10.68.32.57,6,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-catfin-web-02,10.68.32.67,6,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-color-web-02,10.68.32.87,6,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-elysium-web-02,10.68.32.97,6,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-inventory-web-02,10.68.32.107,6,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-mktapp-web-02,10.68.32.117,5,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-mobile-web-02,10.68.32.127,5,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-nexus-web-02,10.68.32.137,5,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-nexus-rsq-02,10.68.32.147,5,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-avail-web-02,10.68.32.157,5,4,4,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-searchpro-web-02,10.68.32.167,5,8,12,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-searchpro-data-02,10.68.64.27,5,8,12,150,sac-eng-ops-esx-09,dev:sysadmin,dev-root,db
sac-cons-imp-web-02,10.68.32.177,6,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-stor-web-02,10.68.32.187,5,8,12,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-stor-mq-02,10.68.32.197,5,8,12,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-stor-db-02,10.68.64.47,6,8,16,350,sac-eng-ops-esx-09,dev:sysadmin,dev-root,db
sac-cons-vp-web-02,10.68.32.207,5,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-vp-rsq-02,10.68.32.217,5,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
sac-cons-soa-web-02,10.68.32.227,6,8,8,100,sac-eng-ops-esx-09,dev:sysadmin,dev-root,app
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sac-eng-ops-esx-09 (MAIL01),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-mail-abtest-web-01,10.68.32.28,5,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-apiserver-web-01,10.68.32.38,5,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-babar-web-01,10.68.32.48,6,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-catalog-web-01,10.68.32.58,6,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-catfin-web-01,10.68.32.68,6,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-color-web-01,10.68.32.88,6,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-elysium-web-01,10.68.32.98,6,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-inventory-web-01,10.68.32.108,6,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-mktapp-web-01,10.68.32.118,5,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-mobile-web-01,10.68.32.128,5,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-nexus-web-01,10.68.32.138,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-nexus-rsq-01,10.68.32.148,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-avail-web-01,10.68.32.158,5,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-searchpro-web-01,10.68.32.168,5,8,12,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-searchpro-data-01,10.68.64.28,5,8,12,150,sac-eng-ops-esx-10,dev:sysadmin,dev-root,db
sac-mail-imp-web-01,10.68.32.178,6,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-stor-web-01,10.68.32.188,5,8,12,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-stor-mq-01,10.68.32.198,5,8,12,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-stor-db-01,10.68.64.48,6,8,16,350,sac-eng-ops-esx-10,dev:sysadmin,dev-root,db
sac-mail-vp-web-01,10.68.32.208,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-vp-rsq-01,10.68.32.218,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-soa-web-01,10.68.32.228,6,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sac-eng-ops-esx-09 (MAIL02),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-mail-abtest-web-02,10.68.32.29,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-apiserver-web-02,10.68.32.39,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-babar-web-02,10.68.32.49,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-catalog-web-02,10.68.32.59,6,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-catfin-web-02,10.68.32.69,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-color-web-02,10.68.32.89,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-elysium-web-02,10.68.32.99,6,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-inventory-web-02,10.68.32.109,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-mktapp-web-02,10.68.32.119,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-mobile-web-02,10.68.32.129,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-nexus-web-02,10.68.32.139,5,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-nexus-rsq-02,10.68.32.149,5,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-avail-web-02,10.68.32.159,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-searchpro-web-02,10.68.32.169,5,8,12,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-searchpro-data-02,10.68.64.29,5,8,12,150,sac-eng-ops-esx-11,dev:sysadmin,dev-root,db
sac-mail-imp-web-02,10.68.32.179,6,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-stor-web-02,10.68.32.189,5,8,12,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-stor-mq-02,10.68.32.199,5,8,12,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-stor-db-02,10.68.64.49,6,8,16,350,sac-eng-ops-esx-11,dev:sysadmin,dev-root,db
sac-mail-vp-web-02,10.68.32.209,5,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-vp-rsq-02,10.68.32.219,5,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-soa-web-02,10.68.32.229,6,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app